Колпаков Родион Фролович,м,2004-05-16,Динамовцев,1,4.3,t
Бесчастных Сигизмунд Фомевич,м,2006-01-22,Солнечная,2,4.0,t
Вергунов Капитон Брониславович,м,2005-03-14,Ленина,3,3.5,t
Первак Пахом Михаилович,м,2003-09-08,Парковая,1,4.1,t
Мурогов Валерий Левович,м,2006-12-01,Зелёная,2,4.5,f
Сиянчук Клавдий Макарович,м,2005-07-26,Садовая,3,3.8,t
Деменков Роман Саввевич,м,2004-10-13,Центральная,1,4.2,t
Южанина Лилия Мирославовна,ж,2003-04-19,Школьная,2,4.4,t
Юганцева Стела Ефимовна,ж,2006-11-04,Береговая,3,3.9,f
Леваневская Изольда Вячеславовна,ж,2005-06-30,Мирная,2,4.6,t
Гандельсман Агния Потаповна,ж,2003-06-15,Мирная,1,4.6,f
Ясина Владислава Вацлавовна,ж,2005-06-30,Мирная,1,4.6,f
Авдиенко Лада Андриановна,ж,2006-07-02,Мирная,2,4.6,t
Мухоморова Лариса Леонидовна,ж,2002-10-10,Мирная,2,4.6,f
Квартирова Лидия Вениаминовна,ж,2004-12-11,Мирная,1,4.6,f
